lat,lng,Address,Country,State,totalCount
42.3814605,-71.1281638,"Center For Astrophysics, Harvard University, 60 Garden Street, Cambridge, MA 02138, USA",United States,Massachusetts,103
41.7896546,-87.5988419,"Chicago U, 5801 South Ellis Avenue, Chicago, IL 60637, USA",United States,Illinois,94
42.3774149,-71.1171011,"Harvard University-Department Physics, Harvard University, 17 Oxford Street, Cambridge, MA 02138, USA",United States,Massachusetts,17
34.1378866,-118.1247032,"Pasadena, CA 91125, USA",United States,California,16
32.233175,-110.94894,"Steward Observatory Dome, The University of Arizona, 933 North Cherry Avenue, Tucson, AZ 85721, USA",United States,Arizona,16
34.1379059,-118.1255126,"California Institute of Technology, 1200 East California Boulevard, Pasadena, CA 91125, USA",United States,California,15
50.73009,7.06957,"Max Planck Institute for Radio Astronomy, Bonn University, Dept. of Southeast Asian Studies, Campus Endenich, Auf dem Hügel 69, 53121 Bonn, Germany",Germany,North Rhine-Westphalia,14
19.8255058,-155.4759836,"Subaru Telescope, 650 North Aohoku Place, Hilo, HI 96720, USA",United States,Hawaii,13
42.6126396,-71.4938736,"MIT Haystack Observatory, 1 Millstone Hill Road, Westford, MA 01886, USA",United States,Massachusetts,12
42.3803274,-71.1389101,"Cambridge, MA 02138, USA",United States,Massachusetts,11
38.0293059,-78.4766781,"Charlottesville, VA, USA",United States,Virginia,11
45.5069558,-73.5787276,"3600 University Street, Montreal, QC H3A, Canada",Canada,Quebec,11
21.3069823,-157.811671,"Institute For Astronomy, University of Hawaii at Manoa, 2680 Woodlawn Drive, Honolulu, HI 96822, USA",United States,Hawaii,10
40.0075811,-105.2659419,"University of Colorado Boulder, Boulder, CO 80309, USA",United States,Colorado,9
34.2000898,-118.1760263,"JET Propulsion Laboratory, 4800 Oak Grove Drive, Pasadena, CA 91109, USA",United States,California,9
35.67533,139.5364976,"２丁目-２１ Osawa, Mitaka, Tokyo 181-8588, Japan",Japan,Tokyo,9
55.9230229,-3.1950366,"Blackford Hill, Edinburgh, City of Edinburgh EH9, UK",United Kingdom,NULL,8
37.8725651,-122.2572875,"Department of Physics, University of California Berkeley, Berkeley, CA 94720, USA",United States,California,8
52.4498552,-1.9287282,"School of Physics and Astronomy, University of Birmingham, Birmingham, West Midlands B15 2TT, UK",United Kingdom,England,8
28.4874009,-16.3159061,"San Cristobal de La Laguna, Santa Cruz de Tenerife, Spain",Spain,Canary Islands,7
49.3928952,8.7202574,"69117 Heidelberg, Germany",Germany,Baden-Wurttemberg,7
-31.994662,115.8886806,"International Centre for Radio Astronomy Research, Curtin University, Bentley WA 6102, Australia",Australia,Western Australia,7
-33.8899135,151.1905601,"The University of Sydney, City Road, Darlington NSW 2008, Australia",Australia,New South Wales,7
40.3465603,-74.6516698,"Department of Astrophysical Sciences, Princeton University, 4 Ivy Lane, Princeton, NJ 08544, USA",United States,New Jersey,7
37.4090804,-122.051936,"Moffett Federal Airfield - NUQ, 158 Cody Road, Mountain View, CA 94035, USA",United States,California,7
48.2602808,11.6709671,"European Southern Observatory, Karl-Schwarzschild-Straße 2, 85748 Garching, Germany",Germany,Bavaria,6
52.212416,0.0947852,"Madingley Road, Cambridge, Cambridgeshire, UK",United Kingdom,NULL,6
28.4811771,-16.3201816,"Avenida Astrofisico Francisco Sánchez, San Cristobal de La Laguna, Santa Cruz de Tenerife, Spain",Spain,Canary Islands,6
37.8694699,-122.2581552,"Department of Astronomy, University of California Berkeley, Berkeley, CA 94720, USA",United States,California,6
52.158494,4.496199,"Leiden, The Netherlands",The Netherlands,South Holland,6
34.403609,132.715794,"１丁目-３ Kagamiyama, Higashihiroshima, Hiroshima Prefecture 739-8526, Japan",Japan,Hiroshima Prefecture,6
42.3606423,-71.0933616,"MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, 77 Massachusetts Avenue #37241, Cambridge, MA 02139, USA",United States,Massachusetts,5
50.86513,-0.0867652,"Brighton, The City of Brighton and Hove BN1 9QH, UK",United Kingdom,NULL,5
39.3327249,-76.6232735,"3700 San Martin Drive, Johns Hopkins University, Baltimore, MD 21218, USA",United States,Maryland,5
37.4261514,-122.1727816,"Lomita Mall, Stanford University, Stanford, CA 94305, USA",United States,California,5
48.2610466,11.6713943,"Max Planck Institute for Astrophysics, Karl-Schwarzschild-Straße 1, 85748 Garching, Germany",Germany,Bavaria,5
50.9352965,-1.3993479,"School of Physics and Astronomy, University of Southampton Highfield Campus, Southampton SO17 1BJ, UK",United Kingdom,England,5
40.5223834,-74.4634759,"136 Frelinghuysen Road, Rutgers University - New Brunswick, Piscataway Township, NJ 08854, USA",United States,New Jersey,4
13.0135132,77.5809267,"Raman Research Institute, Raj Mahal Vilas Extension, Armane Nagar, Bangalore, Karnataka 560080, India",India,Karnataka,4
38.9911983,-76.8525724,"Goddard Space Flight Center, 8800 Greenbelt Road, Greenbelt, MD 20771, USA",United States,Maryland,4
33.6490507,-117.8434722,"University of California Irvine, Irvine, CA 92697, USA",United States,California,4
39.329901,-76.6205184,"Johns Hopkins University, Baltimore, MD 21218, USA",United States,Maryland,4
42.2768063,-83.7353455,"Department of Astronomy, University of Michigan - Central Campus, 500 Church Street, Ann Arbor, MI 48109, USA",United States,Michigan,4
41.5029317,-81.6069338,"Case Western Reserve University Observatory, Cleveland, OH 44106, USA",United States,Ohio,4
34.155601,-118.134254,"813 Santa Barbara Street, Pasadena, CA 91101, USA",United States,California,4
41.725775,-87.9626667,"Argonne Ridge Road, Illinois and Michigan Canal, Willowbrook, IL 60527, USA",United States,Illinois,4
42.3588667,-71.0938246,"Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139, USA",United States,Massachusetts,4
29.452191,-98.610191,"Southwest Research Institute, 6220 Culebra Road, San Antonio, TX 78238, USA",United States,Texas,4
