lat,long,Address,Country,State,totalCount
42.3814605,-71.1281638,"Center For Astrophysics, Harvard University, 60 Garden Street, Cambridge, MA 02138, USA",United States,Massachusetts,169
37.4090804,-122.051936,"Moffett Federal Airfield - NUQ, 158 Cody Road, Mountain View, CA 94035, USA",United States,California,119
37.3861753,-122.0523326,"SETI Institute, 100 North Bernardo Avenue, Mountain View, CA 94043, USA",United States,California,27
42.3588667,-71.0938246,"Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139, USA",United States,Massachusetts,19
51.5211841,-0.1287784,"University of London, Senate House, Malet Street, London, Greater London WC1E 7HU, UK",United Kingdom,NULL,18
36.9913856,-122.0608718,"University of California Santa Cruz, 1156 High Street, Santa Cruz, CA 95064, USA",United States,California,18
52.4498552,-1.9287282,"School of Physics and Astronomy, University of Birmingham, Birmingham, West Midlands B15 2TT, UK",United Kingdom,England,17
48.856614,2.3522219,"Paris, France",France,Île-de-France,17
37.8694699,-122.2581552,"Department of Astronomy, University of California Berkeley, Berkeley, CA 94720, USA",United States,California,17
32.7746247,-117.0713197,"San Diego State University, 5500 Campanile Dr, San Diego, CA 92182, USA",United States,California,16
40.0024326,-83.0123697,"The Ohio State University Department of Astronomy, Ohio State University, 100 West 18th Avenue, Columbus, OH 43210, USA",United States,Ohio,14
32.233175,-110.94894,"Steward Observatory Dome, The University of Arizona, 933 North Cherry Avenue, Tucson, AZ 85721, USA",United States,Arizona,12
41.3171752,-72.9218023,"Astronomy Department, Yale University, Yale University Science Hill, 260 Whitney Avenue, New Haven, CT 06511, USA",United States,Connecticut,10
38.2913294,-122.4636578,"560 3rd Street West, Sonoma, CA 95476, USA",United States,California,10
56.1668737,10.1984125,"Ny Munkegade 120, Aarhus University, 8000 Aarhus, Denmark",Denmark,Central Denmark Region,10
42.3814224,-71.1284335,"Smithsonian Astrophysical Observatory, Harvard University, 60 Garden Street, Cambridge, MA 02138, USA",United States,Massachusetts,9
30.2806543,-97.7327641,"The University of Texas at Austin: School of Social Work, The University of Texas-Austin, 1925 San Jacinto Boulevard, Austin, TX 78712, USA",United States,Texas,9
-33.8674869,151.2069902,"Sydney NSW, Australia",Australia,New South Wales,8
37.4274745,-122.169719,"Stanford University, 450 Serra Mall, Stanford, CA 94305, USA",United States,California,8
21.3069823,-157.811671,"Institute For Astronomy, University of Hawaii at Manoa, 2680 Woodlawn Drive, Honolulu, HI 96822, USA",United States,Hawaii,8
34.4324819,-119.8640016,"6740 Cortona Drive #102, Goleta, CA 93117, USA",United States,California,8
36.1443168,-86.8021984,"Department of Physics and Astronomy, Vanderbilt University, Nashville, TN 37212, USA",United States,Tennessee,8
43.2612939,-79.920331,"McMaster University, 1280 Main St W, Hamilton, ON L8S 4L8, Canada",Canada,Ontario,8
35.2030426,-111.6645534,"Lowell Observatory, 1400 West Mars Hill Road, Flagstaff, AZ 86001, USA",United States,Arizona,7
38.1156879,13.3612671,"Palermo, Italy",Italy,Sicilia,7
34.1379059,-118.1255126,"California Institute of Technology, 1200 East California Boulevard, Pasadena, CA 91125, USA",United States,California,6
43.6607391,-79.3972921,"Department of Astronomy and Astrophysics, University of Toronto - St. George Campus, 50 Saint George Street, Toronto, ON M5S 3H4, Canada",Canada,Ontario,6
49.2648405,-123.252605,"The University of British Columbia, 2329 West Mall, Vancouver, BC V6T 1Z4, Canada",Canada,British Columbia,6
42.3813384,-71.1265483,"60 Garden Street, Harvard University, Cambridge, MA 02138, USA",United States,Massachusetts,5
40.3465603,-74.6516698,"Department of Astrophysical Sciences, Princeton University, 4 Ivy Lane, Princeton, NJ 08544, USA",United States,New Jersey,5
34.2000898,-118.1760263,"JET Propulsion Laboratory, 4800 Oak Grove Drive, Pasadena, CA 91109, USA",United States,California,5
55.686306,12.5772648,"1350 København K, Denmark",Denmark,Capital Region of Denmark,5
30.6186622,-96.3365238,"Texas A&M University, Texas A & M University Campus, University Drive, College Station, TX 77843, USA",United States,Texas,5
34.414052,-119.843298,"University of California: Physics, UC Santa Barbara, Broida Hall, Santa Barbara, CA 93106, USA",United States,California,5
47.6492873,-122.3068507,"University of Washington Medical Center, Northeast Pacific Street, Seattle, WA 98195, USA",United States,Washington,5
29.452191,-98.610191,"Southwest Research Institute, 6220 Culebra Road, San Antonio, TX 78238, USA",United States,Texas,5
48.5167241,-123.4208591,"Victoria, BC V9E 2E7, Canada",Canada,British Columbia,5
46.3082532,6.1340875,"Chemin des Maillettes 51, University of Geneva, 1290 Versoix, Switzerland",Switzerland,Geneva,4
48.2358641,16.3191645,"1180 Vienna, Austria",Austria,Vienna,4
34.4135868,-119.8496976,"UC Santa Barbara, 552 University Road, Santa Barbara, CA 93106, USA",United States,California,4
52.3544534,4.9553595,"Science Park Amsterdam 904, University of Amsterdam, 1098 Amsterdam, The Netherlands",The Netherlands,North Holland,4
